iter	Passed	Remaining
142	271	1628
143	272	1620
144	273	1613
145	275	1611
146	277	1612
147	280	1614
148	281	1607
149	282	1601
150	283	1596
151	285	1590
152	286	1584
153	287	1579
154	288	1573
155	289	1568
156	291	1564
157	292	1558
158	295	1561
159	296	1556
160	297	1550
161	299	1549
162	300	1544
163	301	1538
164	303	1533
165	304	1529
166	305	1524
167	307	1523
168	308	1518
169	311	1521
170	312	1516
171	313	1511
172	315	1506
173	316	1502
174	317	1497
175	319	1496
176	320	1491
177	321	1486
178	322	1481
179	324	1476
180	325	1472
181	329	1480
182	331	1481
183	333	1477
184	334	1472
185	335	1468
186	336	1464
187	337	1459
188	339	1455
189	339	1449
190	341	1444
191	342	1439
192	343	1434
193	344	1429
194	345	1425
195	346	1421
196	347	1417
197	349	1413
198	350	1409
199	351	1405
200	352	1401
201	353	1397
202	355	1394
203	356	1390
204	357	1386
205	358	1382
206	359	1378
207	361	1374
208	363	1375
209	364	1371
210	365	1368
211	367	1365
212	378	1398
213	379	1395
214	381	1392
215	382	1388
216	397	1435
217	399	1432
218	400	1427
219	401	1423
220	402	1419
221	403	1415
222	404	1411
223	406	1407
224	407	1403
225	408	1399
226	409	1395
227	410	1391
228	412	1387
229	413	1383
230	414	1380
231	415	1376
232	416	1371
233	417	1368
234	420	1368
235	421	1363
236	422	1360
237	423	1356
238	424	1352
239	425	1348
240	427	1344
241	428	1341
242	430	1342
243	432	1339
244	433	1336
245	435	1333
246	436	1330
247	438	1328
248	441	1330
249	443	1329
250	446	1333
251	448	1330
252	449	1327
253	450	1323
254	451	1320
255	452	1316
256	454	1314
257	455	1310
258	467	1338
259	468	1334
260	470	1330
261	471	1327
262	472	1323
263	473	1320
264	474	1316
265	478	1320
266	480	1319
267	481	1316
268	483	1313
269	484	1309
270	486	1307
271	487	1304
272	488	1301
273	490	1300
274	492	1299
275	495	1298
276	496	1295
277	498	1293
278	499	1290
279	500	1287
280	504	1290
281	505	1287
282	509	1290
283	511	1289
284	512	1286
285	515	1286
286	517	1286
287	519	1284
288	520	1281
289	522	1278
290	523	1275
291	524	1272
292	525	1268
293	528	1267
294	529	1264
295	530	1261
296	532	1260
297	533	1257
298	550	1290
299	552	1288
300	553	1285
301	554	1281
302	555	1278
303	557	1275
304	558	1271
305	559	1268
306	560	1265
307	561	1261
308	562	1258
309	563	1255
310	565	1251
311	566	1248
312	567	1245
313	568	1241
314	569	1237
315	570	1235
316	571	1231
317	572	1228
318	573	1225
319	574	1221
320	576	1218
321	577	1215
322	578	1212
323	579	1208
324	580	1205
325	582	1204
326	584	1202
327	585	1199
328	587	1197
329	588	1194
330	589	1192
331	591	1189
332	592	1186
333	593	1183
334	594	1180
335	595	1177
336	596	1174
337	598	1171
338	599	1168
339	600	1165
340	601	1162
341	602	1159
342	603	1156
343	605	1153
344	606	1151
345	607	1148
346	608	1145
347	609	1142
348	615	1148
349	623	1157
350	627	1161
351	629	1158
352	633	1160
353	635	1159
354	637	1157
355	638	1154
356	653	1176
357	654	1173
358	655	1170
359	656	1167
360	657	1164
361	658	1161
362	659	1158
363	661	1155
364	662	1152
365	663	1149
366	666	1148
367	667	1146
368	668	1143
369	671	1143
370	672	1139
371	673	1137
372	674	1134
373	675	1131
374	677	1128
375	678	1125
376	679	1122
377	680	1119
378	681	1116
379	682	1113
380	683	1111
381	685	1108
382	687	1106
383	688	1104
384	694	1108
385	695	1106
386	696	1103
387	697	1100
388	698	1097
389	699	1094
390	701	1092
391	702	1088
392	702	1085
393	704	1082
394	705	1079
395	706	1077
396	713	1083
397	714	1081
398	715	1078
399	717	1075
400	718	1073
401	719	1070
402	720	1067
403	721	1065
404	723	1062
405	724	1059
406	726	1059
407	728	1056
408	729	1053
409	730	1050
410	731	1048
411	732	1045
412	735	1046
413	736	1043
414	738	1040
415	739	1038
416	740	1035
417	742	1033
418	743	1030
419	744	1028
420	745	1025
421	746	1022
422	750	1024
423	752	1021
424	753	1019
425	754	1016
426	755	1013
427	756	1011
428	757	1008
429	764	1013
430	766	1012
431	768	1009
432	769	1008
433	772	1007
434	774	1005
435	775	1002
436	776	1000
437	777	997
438	779	996
439	780	993
440	781	991
441	783	988
442	784	986
443	785	983
444	786	981
445	787	978
446	789	976
447	790	973
448	791	971
449	792	968
450	799	972
451	800	970
452	801	967
453	802	965
454	803	962
455	805	960
456	808	960
457	809	958
